Date,Open,High,Low,Close,Adj Close,Volume
1997-06-01,29.750000,32.562500,29.437500,30.625000,14.357271,144493400
1997-07-01,30.750000,32.812500,30.000000,32.125000,15.060481,136330400
1997-08-01,32.125000,32.718750,29.312500,30.593750,14.342619,127969200
1997-09-01,30.656250,33.625000,30.593750,32.031250,15.116493,122988800
1997-10-01,32.125000,33.437500,27.375000,30.718750,14.497088,152865400
1997-11-01,31.062500,32.062500,29.312500,30.500000,14.393852,107004200
1997-12-01,30.500000,32.375000,29.625000,30.593750,14.535395,123933800
1998-01-01,30.531250,31.093750,28.312500,29.656250,14.089980,149596000
1998-02-01,30.375000,32.218750,30.093750,31.875000,15.144128,115262800
1998-03-01,31.937500,35.000000,31.062500,33.812500,16.171700,145353800
1998-04-01,33.875000,37.343750,32.687500,36.531250,17.472015,141879800
1998-05-01,37.000000,38.000000,34.500000,35.250000,16.859228,116825200
1998-06-01,35.250000,36.531250,33.687500,35.687500,17.164625,136540200
1998-07-01,36.031250,36.906250,34.093750,35.125000,16.894072,113450400
1998-08-01,34.812500,36.031250,32.000000,32.718750,15.736750,160266200
1998-09-01,32.250000,35.781250,31.000000,35.312500,17.087868,171152400
1998-10-01,35.093750,38.468750,34.718750,35.812500,17.329823,185060600
1998-11-01,35.687500,38.656250,34.781250,37.500000,18.146406,133619800
1998-12-01,36.250000,38.343750,35.031250,36.562500,17.791992,191454400
1999-01-01,36.375000,37.906250,34.781250,35.125000,17.092476,152538200
1999-02-01,35.031250,36.718750,33.187500,33.281250,16.195282,160680200
1999-03-01,33.156250,38.187500,32.156250,35.281250,17.267267,206410000
1999-04-01,35.156250,42.625000,34.718750,41.531250,20.326134,196539400
1999-05-01,41.500000,43.625000,38.781250,39.937500,19.546118,180442400
1999-06-01,39.812500,41.718750,37.437500,38.562500,18.966930,156534200
1999-07-01,38.562500,40.812500,37.656250,39.687500,19.520264,149662400
1999-08-01,39.875000,41.468750,38.656250,39.437500,19.397297,158931400
1999-09-01,39.500000,41.500000,36.062500,38.000000,18.785137,165429800
1999-10-01,37.968750,38.468750,35.625000,37.031250,18.306238,176728200
1999-11-01,37.031250,40.687500,35.031250,39.656250,19.603886,177529000
1999-12-01,39.625000,43.281250,39.625000,40.281250,20.031473,222137400
2000-01-01,39.750000,43.156250,38.250000,41.437500,20.606459,250602200
2000-02-01,41.656250,42.437500,34.937500,37.656250,18.726076,221046200
2000-03-01,37.687500,41.000000,36.000000,39.000000,19.503023,279745400
2000-04-01,38.875000,41.562500,37.500000,38.843750,19.424887,201420000
2000-05-01,39.156250,41.968750,38.500000,41.656250,20.831362,193631800
2000-06-01,41.781250,42.375000,38.843750,39.250000,19.734581,235361600
2000-07-01,39.406250,40.562500,37.562500,40.093750,20.158813,204308600
2000-08-01,40.468750,42.375000,39.875000,40.820313,20.524115,186959200
2000-09-01,41.000000,45.375000,40.875000,44.554688,22.523993,273431600
2000-10-01,44.687500,47.718750,42.906250,44.593750,22.543756,277293600
2000-11-01,44.968750,47.343750,43.281250,44.000000,22.243580,219069400
2000-12-01,43.968750,45.687500,42.031250,43.468750,22.082155,246466000
2001-01-01,43.343750,44.875000,39.343750,42.075001,21.374128,311749600
2001-02-01,42.075001,43.325001,40.450001,40.525002,20.586718,202850800
2001-03-01,40.400002,43.244999,37.599998,40.500000,20.681919,277832200
2001-04-01,40.500000,44.939999,38.500000,44.299999,22.622448,265479800
2001-05-01,44.400002,45.325001,42.724998,44.375000,22.660740,256474800
2001-06-01,44.500000,45.834999,43.080002,43.674999,22.413202,249846400
2001-07-01,44.125000,44.400002,40.520000,41.759998,21.435282,225712600
2001-08-01,42.450001,42.490002,40.049999,40.150002,20.608873,190175200
2001-09-01,40.599998,41.500000,35.009998,39.400002,20.337299,194900700
2001-10-01,39.250000,42.700001,38.049999,39.450001,20.363117,225004000
2001-11-01,39.450001,40.580002,36.759998,37.400002,19.304953,241588300
2001-12-01,37.400002,40.299999,36.410000,39.299999,20.404577,239401800
2002-01-01,39.299999,40.090000,37.799999,39.049999,20.274782,199811900
2002-02-01,39.150002,41.799999,37.599998,41.299999,21.442980,201045400
2002-03-01,41.750000,44.290001,41.650002,43.830002,22.891851,220308800
2002-04-01,44.200001,44.570000,39.599998,40.169998,20.980268,241394100
2002-05-01,39.900002,41.130001,38.680000,39.930000,20.854923,214574500
2002-06-01,40.000000,41.020000,38.500000,40.919998,21.495562,234310800
2002-07-01,40.770000,41.099998,29.750000,36.759998,19.310282,419930100
2002-08-01,35.250000,37.799999,32.320000,35.450001,18.622124,256030500
2002-09-01,34.250000,35.799999,31.180000,31.900000,16.865028,237509300
2002-10-01,32.180000,36.500000,32.029999,33.660000,17.795519,325718700
2002-11-01,33.799999,35.849998,33.000000,34.799999,18.398222,219486100
2002-12-01,35.150002,36.220001,34.099998,34.939999,18.594038,245602600
2003-01-01,35.000000,36.599998,31.580000,34.150002,18.173632,268464500
2003-02-01,34.160000,35.090000,32.320000,34.020000,18.104437,220545200
2003-03-01,34.389999,36.200001,33.230000,34.950001,18.725546,271091900
2003-04-01,35.250000,36.000000,34.200001,35.200001,18.859505,230596000
2003-05-01,35.320000,36.770000,34.990002,36.400002,19.502439,241625800
2003-06-01,36.529999,38.450001,35.910000,35.910000,19.376976,244445200
2003-07-01,35.950001,36.400002,34.900002,35.580002,19.198914,260446600
2003-08-01,35.570000,37.740002,35.119999,37.700001,20.342861,212805700
2003-09-01,37.790001,38.500000,36.349998,36.599998,19.885431,224083400
2003-10-01,36.919998,38.930000,36.119999,36.580002,19.874565,256091700
2003-11-01,36.919998,36.990002,35.049999,36.200001,19.668102,224482300
2003-12-01,36.500000,41.130001,36.220001,41.000000,22.432154,257997900
2004-01-01,41.020000,41.770000,40.020000,40.790001,22.317268,238350800
2004-02-01,41.259998,42.750000,40.049999,42.169998,23.072290,199643700
2004-03-01,42.580002,43.400002,39.910000,41.590000,22.896257,285284900
2004-04-01,41.900002,43.970001,41.430000,42.549999,23.424765,225169900
2004-05-01,42.900002,44.240002,41.590000,43.250000,23.810135,237764400
2004-06-01,43.500000,45.529999,43.099998,44.410000,24.606737,249433500
2004-07-01,44.529999,46.820000,44.200001,46.299999,25.653936,217947100
2004-08-01,46.290001,46.939999,44.200001,46.099998,25.543127,245975700
2004-09-01,46.200001,49.790001,46.029999,48.330002,26.939335,262349900
2004-10-01,48.450001,50.459999,48.180000,49.220001,27.435425,247700600
2004-11-01,49.400002,52.000000,48.250000,51.250000,28.566967,244145100
2004-12-01,51.259998,52.049999,48.900002,51.259998,28.727123,286965800
2005-01-01,51.020000,51.970001,49.250000,51.599998,28.917662,245378900
2005-02-01,51.980000,64.040001,51.930000,63.310001,35.480194,368112500
2005-03-01,62.970001,64.370003,57.380001,59.599998,33.564625,550792900
2005-04-01,60.099998,61.740002,55.400002,57.029999,32.117275,420482400
2005-05-01,57.000000,58.650002,52.779999,56.200001,31.649847,401416300
2005-06-01,56.450001,61.130001,56.330002,57.470001,32.529900,359084600
2005-07-01,57.750000,60.730000,57.599998,58.750000,33.254429,329633500
2005-08-01,59.230000,61.340000,57.759998,59.900002,33.905354,394547100
2005-09-01,60.099998,65.959999,60.099998,63.540001,36.141998,430770300
2005-10-01,63.549999,63.889999,54.500000,56.139999,31.932817,519294300
2005-11-01,56.090000,60.259998,55.840000,58.029999,33.007870,391813500
2005-12-01,58.369999,60.380001,55.599998,56.169998,32.112984,333738200
2006-01-01,56.419998,63.959999,56.419998,62.750000,35.874832,408984300
2006-02-01,62.770000,63.080002,58.599998,59.369999,33.942451,366218200
2006-03-01,59.590000,61.919998,58.439999,60.860001,34.979176,423277300
2006-04-01,61.360001,65.000000,60.430000,63.080002,36.255116,341320100
2006-05-01,63.400002,64.769997,59.150002,60.910000,35.007904,433413200
2006-06-01,60.400002,62.650002,56.639999,61.349998,35.438168,503806800
2006-07-01,61.799999,67.940002,61.630001,67.739998,39.129280,419971700
2006-08-01,67.239998,71.220001,67.010002,67.669998,39.088840,507318400
2006-09-01,67.849998,68.650002,63.869999,67.099998,38.939411,474291100
2006-10-01,67.290001,72.330002,64.839996,71.419998,41.446400,458300600
2006-11-01,71.580002,77.370003,70.269997,76.809998,44.574291,407406000
2006-12-01,76.779999,79.000000,74.820000,76.629997,44.662655,386455900
2007-01-01,76.260002,76.269997,70.639999,74.099998,43.188076,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,41.777626,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,44.162193,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,46.462475,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,48.680824,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,49.308369,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,50.043167,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,50.395882,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,54.628349,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,54.291965,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,52.621716,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,55.510265,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,50.776276,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,51.552448,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,50.328987,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,55.380932,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,52.816269,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,52.675678,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,48.073380,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,47.822308,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,46.654793,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,44.528103,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,48.150669,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,48.234222,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,46.210102,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,41.025967,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,41.354164,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,40.485767,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,42.113224,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,42.706623,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,42.999844,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,42.242359,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,42.168503,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,44.049202,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,46.138878,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,42.154301,648945000
2010-01-01,68.720001,70.599998,64.019997,64.430000,39.829910,596474300
2010-02-01,65.769997,67.230003,63.560001,65.000000,40.182274,534843200
2010-03-01,65.360001,67.889999,65.080002,66.980003,41.676422,582728200
2010-04-01,67.269997,70.000000,66.849998,67.769997,42.167961,531285400
2010-05-01,68.110001,68.220001,58.459999,60.459999,37.619518,768609600
2010-06-01,60.380001,64.500000,56.919998,57.070000,35.751350,808522600
2010-07-01,56.980000,61.880001,55.939999,59.680000,37.386364,613489500
2010-08-01,60.639999,62.990002,58.049999,59.110001,37.029297,475629700
2010-09-01,60.040001,62.439999,59.720001,61.790001,38.985165,423362300
2010-10-01,62.320000,66.809998,61.799999,66.489998,41.950531,430427600
2010-11-01,66.720001,71.900002,66.629997,69.559998,43.887489,486318500
2010-12-01,70.379997,73.690002,70.379997,73.120003,46.424080,409237200
2011-01-01,73.720001,80.820000,73.639999,80.680000,51.223930,449380100
2011-02-01,81.139999,88.230003,81.040001,85.529999,54.303234,443594000
