U.S. Exports of Crude Oil Monthly
https://www.eia.gov/opendata/v1/qb.php?sdid=PET.MCREXUS1.M
00:27:02 GMT+0200 (Central European Summer Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCREXUS1.M Thousand Barrels
Jan 1940,2031
Dec 1939,4656
Nov 1939,5323
Oct 1939,6947
Sep 1939,6925
Aug 1939,5969
Jul 1939,7304
Jun 1939,5831
May 1939,8643
Apr 1939,6222
Mar 1939,4966
Feb 1939,4810
Jan 1939,4477
Dec 1938,4884
Nov 1938,5602
Oct 1938,6780
Sep 1938,5577
Aug 1938,7003
Jul 1938,7250
Jun 1938,7424
May 1938,7798
Apr 1938,7553
Mar 1938,6121
Feb 1938,5328
Jan 1938,5953
Dec 1937,5116
Nov 1937,6645
Oct 1937,6692
Sep 1937,6602
Aug 1937,7423
Jul 1937,6363
Jun 1937,6181
May 1937,6796
Apr 1937,4899
Mar 1937,3196
Feb 1937,3777
Jan 1937,3596
Dec 1936,3666
Nov 1936,4145
Oct 1936,4708
Sep 1936,5025
Aug 1936,5561
Jul 1936,4458
Jun 1936,4792
May 1936,4390
Apr 1936,3743
Mar 1936,3155
Feb 1936,3474
Jan 1936,3067
Dec 1935,4098
Nov 1935,4289
Oct 1935,4810
Sep 1935,4971
Aug 1935,4946
Jul 1935,5832
Jun 1935,5589
May 1935,4613
Apr 1935,3776
Mar 1935,3281
Feb 1935,2804
Jan 1935,2369
Dec 1934,2437
Nov 1934,4680
Oct 1934,3277
Sep 1934,4068
Aug 1934,3696
Jul 1934,4128
Jun 1934,3794
May 1934,3724
Apr 1934,3942
Mar 1934,2582
Feb 1934,2511
Jan 1934,2288
Dec 1933,2636
Nov 1933,3305
Oct 1933,3888
Sep 1933,3182
Aug 1933,3141
Jul 1933,4523
Jun 1933,4355
May 1933,2679
Apr 1933,2939
Mar 1933,2137
Feb 1933,1886
Jan 1933,1913
Dec 1932,2154
Nov 1932,1318
Oct 1932,2541
Sep 1932,2113
Aug 1932,2839
Jul 1932,2249
Jun 1932,2791
May 1932,2942
Apr 1932,2867
Mar 1932,2090
Feb 1932,1897
Jan 1932,1592
Dec 1931,1071
Nov 1931,2449
Oct 1931,2389
Sep 1931,2296
Aug 1931,2856
Jul 1931,2621
Jun 1931,2544
May 1931,2268
Apr 1931,1826
Mar 1931,1586
Feb 1931,1710
Jan 1931,1919
Dec 1930,1339
Nov 1930,1765
Oct 1930,2167
Sep 1930,1961
Aug 1930,2407
Jul 1930,1973
Jun 1930,2508
May 1930,2202
Apr 1930,1900
Mar 1930,1944
Feb 1930,1731
Jan 1930,1808
Dec 1929,2089
Nov 1929,2579
Oct 1929,2869
Sep 1929,1988
Aug 1929,2236
Jul 1929,3117
Jun 1929,2615
May 1929,1932
Apr 1929,1726
Mar 1929,1600
Feb 1929,1678
Jan 1929,1972
Dec 1928,1529
Nov 1928,1691
Oct 1928,2015
Sep 1928,1506
Aug 1928,1883
Jul 1928,1669
Jun 1928,1879
May 1928,1493
Apr 1928,1303
Mar 1928,1530
Feb 1928,1243
Jan 1928,1225
Dec 1927,1717
Nov 1927,1280
Oct 1927,1539
Sep 1927,1297
Aug 1927,1382
Jul 1927,1089
Jun 1927,1411
May 1927,1390
Apr 1927,1171
Mar 1927,1199
Feb 1927,1165
Jan 1927,1204
Dec 1926,1283
Nov 1926,1344
Oct 1926,1010
Sep 1926,1388
Aug 1926,1083
Jul 1926,1726
Jun 1926,1226
May 1926,1842
Apr 1926,1308
Mar 1926,965
Feb 1926,1049
Jan 1926,1183
Dec 1925,877
Nov 1925,740
Oct 1925,1292
Sep 1925,923
Aug 1925,1465
Jul 1925,1302
Jun 1925,1255
May 1925,1356
Apr 1925,798
Mar 1925,1058
Feb 1925,1122
Jan 1925,1149
Dec 1924,1049
Nov 1924,1453
Oct 1924,1488
Sep 1924,1893
Aug 1924,1242
Jul 1924,1409
Jun 1924,1542
May 1924,1858
Apr 1924,1547
Mar 1924,1550
Feb 1924,1680
Jan 1924,1528
Dec 1923,2103
Nov 1923,1397
Oct 1923,1315
Sep 1923,1592
Aug 1923,1542
Jul 1923,1547
Jun 1923,2598
May 1923,1324
Apr 1923,1511
Mar 1923,1028
Feb 1923,666
Jan 1923,762
Dec 1922,1122
Nov 1922,879
Oct 1922,741
Sep 1922,1127
Aug 1922,764
Jul 1922,893
Jun 1922,826
May 1922,771
Apr 1922,924
Mar 1922,806
Feb 1922,583
Jan 1922,727
Dec 1921,525
Nov 1921,869
Oct 1921,747
Sep 1921,881
Aug 1921,885
Jul 1921,538
Jun 1921,586
May 1921,874
Apr 1921,748
Mar 1921,750
Feb 1921,794
Jan 1921,743
Dec 1920,823
Nov 1920,796
Oct 1920,777
Sep 1920,790
Aug 1920,553
Jul 1920,723
Jun 1920,627
May 1920,761
Apr 1920,693
Mar 1920,892
Feb 1920,853
Jan 1920,469
